"Form","FormName","Batch","NumBatch","SA","SB","ST","SRperc","ZeroShearVisc","YieldStress","Viscosity","ElasticMod","ViscMod","TanDelta","pH","AUC","PC1VAR","PC2VAR"
"Test","Calcipotriol","160001","B1",48040,27511,20529,42.7,290930,257.6,6.07,31785,23228,0.731,7.95,495054,7.42755252498705,0.477005177608113
"Test","Calcipotriol","160001","B1",43860,24529,19331,44.1,360580,285.4,5.8,34068,24630,0.723,7.65,472617,7.14452091165458,0.824583201207215
"Test","Calcipotriol","160001","B1",46628,26028,20600,44.2,286520,232.6,5.6,35376,25652,0.725,7.68,521992,7.88048422724944,0.494544728538968
"Test","Calcipotriol","160001","B1",46957,24219,22738,48.4,257510,292.8,6.2,34216,24790,0.725,7.74,498058,7.45308041466868,0.235294093093844
"Test","Calcipotriol","160001","B1",49431,30513,18918,38.3,245940,271.2,6.5,35440,25605,0.722,7.75,470471,6.76478189555644,0.0436942624481414
"Test","Calcipotriol","160001","B1",46406,28898,17508,37.7,355760,251.2,5.6,34935,25455,0.729,7.69,479675,7.11473977253208,0.484587566093786
"Test","Calcipotriol","160001","B1",46499,29017,17482,37.6,310660,285.3,6.06,29833,21622,0.725,7.7,440907,6.95221057077475,0.0166293510816823
"Test","Calcipotriol","160001","B1",44894,26401,18492,41.2,288540,267.5,5.9,32394,23463,0.724,7.65,443592,7.14472000714977,0.437946999285296
"Test","Calcipotriol","160001","B1",41884,26258,15626,37.3,300210,245.3,5.6,37009,26944,0.728,7.71,429219,6.85477921427651,0.892318532774159
"Test","Calcipotriol","160001","B1",49195,27748,21447,43.6,316340,290.3,5.5,34119,24692,0.724,7.72,425563,6.56732445797751,0.350272201057864
"Test","Calcipotriol","160001","B1",49651,28946,20705,41.7,288270,274.3,6.02,34587,25085,0.725,7.73,454955,6.76256465078169,0.12748206812635
"Test","Calcipotriol","160001","B1",44766,25444,19322,43.2,280280,240.6,5.8,33240,25210,0.758,7.74,461754,7.67256018741953,0.269833295034085
"Test","Calcipotriol","180001","B2",59267,30900,28366,47.9,612100,544.3,8.8,62143,42440,0.683,7.59,325716,0.0541400243443522,2.99481443083932
"Test","Calcipotriol","180001","B2",54593,26476,28118,51.5,615460,615,8.97,61845,42166,0.682,7.56,326364,0.0667438750212016,3.44567918961467
"Test","Calcipotriol","180001","B2",52254,23899,28356,54.3,487340,620.9,8.9,55161,38282,0.694,7.71,329825,1.14100879681776,2.49357773797873
"Test","Calcipotriol","180001","B2",53166,25882,27283,51.3,612170,541.2,9.1,59266,40941,0.691,7.72,331945,0.603682964389352,2.81763777066892
"Test","Calcipotriol","180001","B2",48408,27321,21087,43.6,544650,516.2,9.2,61107,41221,0.675,7.69,344359,0.873498668131934,3.41662747471489
"Test","Calcipotriol","180001","B2",53382,32016,21366,40,638280,601.3,8.81,60349,40796,0.676,7.75,331332,0.0682238353604815,3.21246723200186
"Test","Calcipotriol","180001","B2",52832,31016,21816,41.3,678630,546.3,9.1,56875,39114,0.688,7.68,316184,0.220778677886384,2.8163202709072
"Test","Calcipotriol","180001","B2",53209,28969,24241,45.6,627590,525.2,8.9,60036,40717,0.678,7.7,330016,0.413385884056773,3.14284120857015
"Test","Calcipotriol","180001","B2",46430,23971,22459,48.4,613080,534.6,8.71,63863,43406,0.68,7.65,329628,0.635666287433834,4.02080470086289
"Test","Calcipotriol","180001","B2",43698,24465,19233,44,599640,621.5,9,58294,41045,0.704,7.68,333442,0.872561542455235,3.31032770248597
"Test","Calcipotriol","180001","B2",52147,30147,22000,42.2,597570,547.3,9.11,57761,40132,0.695,7.64,338071,0.732377942232896,2.74941011616919
"Test","Calcipotriol","180001","B2",45784,27940,17844,39,771750,515.6,8.9,58190,39750,0.683,7,332490,0.854585345339776,4.6418062055132
"Reference","Daivodet60g","A66014","B1",83063,58110,24953,30,640110,441,10.47,43722,31790,0.727,7.84,350372,0.131616635077341,1.78451107192387
"Reference","Daivodet60g","A66014","B1",85864,58995,26869,31.3,638680,514,10.32,53803,37546,0.698,7.92,348502,1.2401454309517,0.633816838669326
"Reference","Daivodet60g","A66014","B1",85350,58401,26948,31.6,585650,458.3,10.14,48273,34130,0.707,7.95,336643,0.441027970649934,1.35819800655832
"Reference","Daivodet60g","A66014","B1",80702,54035,26667,33,542150,469.2,9.94,46884,34049,0.726,7.86,351055,0.38798284521932,1.37665832424967
